id,listing_url,scrape_id,last_scraped,source,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1.41E+18,https://www.airbnb.com/rooms/1411675973852529784,2.03E+13,6/22/2025,city scrape,Cozy Studio in Causeway - Unit 17,493088457,Comfy Nomad,within an hour,96%,87%,f,Wan Chai,96,107,"['email', 'phone']",t,t,,Wan Chai,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,$297.00 ,28,365,28,28,365,365,28,365,,t,25,55,85,345,6/22/2025,1,1,0,173,0,56,16632,5/8/2025,5/8/2025,5,5,5,5,5,5,5,,f,93,43,50,0,0.65
1.43E+18,https://www.airbnb.com/rooms/1425020502041122158,2.03E+13,6/21/2025,city scrape,Beachfront Comfort Family,696498830,Crystal,within an hour,100%,100%,f,Cheung Chau,1,1,"['email', 'phone']",f,t,,Islands,Entire rental unit,Entire home/apt,5,1,1 bath,1,3,$297.00 ,1,365,1,1,365,365,1,365,,t,22,26,56,331,6/21/2025,1,1,1,160,0,6,1782,6/5/2025,6/5/2025,4,3,4,4,5,4,4,,f,1,1,0,0,1
1.43E+18,https://www.airbnb.com/rooms/1430210362657953713,2.03E+13,6/21/2025,city scrape,Private SYP Room 4BR Shared Flat,23134064,Dustin,within a few hours,100%,68%,f,Tai Kok Sui,27,84,"['email', 'phone']",t,t,,Central & Western,Private room in rental unit,Private room,1,1,1 shared bath,1,1,$297.00 ,28,365,28,28,365,365,28,365,,t,29,41,41,212,6/21/2025,0,0,0,41,0,0,0,,,,,,,,,,,f,26,1,25,0,
7760948,https://www.airbnb.com/rooms/7760948,2.03E+13,6/21/2025,city scrape,Private room near Airport and Metro,40809260,Inge,N/A,N/A,N/A,f,,1,4,"['email', 'phone']",t,t,"Hong Kong, New Territories, Hong Kong",Islands,Private room in condo,Private room,1,1,1 bath,1,1,$298.00 ,1,1125,1,1,1125,1125,1,1125,,t,0,0,0,0,6/21/2025,2,0,0,0,1,0,0,3/3/2023,2/5/2024,5,5,5,5,5,5,5,,f,1,0,1,0,0.07
25143962,https://www.airbnb.com/rooms/25143962,2.03E+13,6/21/2025,city scrape,"(佐敦)特惠單人房~ 地理交通優先選(步行2分鐘到地鐵站, 3分鐘到機場巴士站, 6分鐘到尖沙咀)",61031862,Daisy,N/A,N/A,100%,f,Jordan,5,9,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in minsu,Private room,1,1,1 shared bath,1,1,$298.00 ,1,1125,1,1,1125,1125,1,1125,,t,29,59,89,364,6/21/2025,34,4,0,193,5,24,7152,6/4/2018,9/16/2024,4.21,4.32,4.26,4.59,4.59,4.76,4.35,,t,5,0,5,0,0.4
25144169,https://www.airbnb.com/rooms/25144169,2.03E+13,6/21/2025,city scrape,"(香港佐敦)糖果音樂主題雙人雙床房 ~ 地理交通優先選(步行2分鐘到地鐵站, 6分鐘到尖沙咀)",189829763,Yannes,within an hour,100%,94%,,Jordan,15,29,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in hostel,Private room,2,1,1 shared bath,1,2,$298.00 ,1,1125,1,1,1125,1125,1,1125,,t,29,59,89,364,6/21/2025,21,5,1,193,1,30,8940,6/20/2018,6/16/2025,4.57,4.9,4.71,4.76,4.95,4.9,4.76,,t,4,0,4,0,0.25
43505198,https://www.airbnb.com/rooms/43505198,2.03E+13,6/21/2025,city scrape,3號房無比小家帶來一套管家式服务 带来不一样的体验 尖沙咀地铁口对面 房間內設洗手間,252469219,RubyInternationalLY,within an hour,100%,100%,t,Tsim Sha Tsui,8,13,"['email', 'phone']",t,t,,Yau Tsim Mong,Entire serviced apartment,Entire home/apt,2,1,1 bath,1,1,$298.00 ,1,1125,1,1,1125,1125,1,1125,,t,28,58,88,363,6/21/2025,92,21,0,192,30,126,37548,8/24/2021,4/11/2025,4.73,4.72,4.73,4.71,4.95,4.59,4.74,,f,8,4,4,0,1.97
47752460,https://www.airbnb.com/rooms/47752460,2.03E+13,6/21/2025,city scrape,"Cozy & stylish room in KT, near HKU",169826410,Elena,within an hour,100%,0%,f,Sai Wan,1,6,['phone'],t,t,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,Private room in condo,Private room,1,1,1 shared bath,1,1,$298.00 ,14,365,14,14,365,365,14,365,,t,27,39,39,210,6/21/2025,1,0,0,39,0,0,0,5/17/2021,5/17/2021,5,5,5,5,5,5,5,,f,1,0,1,0,0.02
9.57E+17,https://www.airbnb.com/rooms/957059876878662164,2.03E+13,6/21/2025,city scrape,City view Double Mixed Capsule Bed Space,507089324,健輝,within an hour,100%,99%,f,Causeway Bay,8,17,"['email', 'phone']",t,t,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,Shared room in rental unit,Shared room,2,3,3 shared baths,1,1,$298.00 ,1,365,1,1,1125,1125,1,1125,,t,29,59,89,364,6/21/2025,6,3,0,193,3,18,5364,1/21/2024,1/15/2025,4.17,4.33,4.33,4.17,4.33,4.83,4.33,,t,7,1,4,2,0.35
1.01E+18,https://www.airbnb.com/rooms/1006484250981025776,2.03E+13,6/22/2025,city scrape,3 Mins to Jordan MTR- Co-living Deluxe Double Room,1654196,Hoi Ying,within an hour,99%,92%,f,Morrison Hill,71,115,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,2,2,2 shared baths,1,1,$298.00 ,1,365,1,28,365,1125,25.1,446.2,,t,30,60,90,326,6/22/2025,4,1,0,193,3,6,1788,12/3/2023,8/4/2024,4.75,4.5,5,5,5,5,4.5,,t,70,0,70,0,0.21
